UK ID,UK Sanction Programme,UK Name,EU Name Match,EU ID,Multi Score,Label
6997,ISIL (Da'esh) and Al-Qaida,"{'Salem', 'Jaddawi', 'Ahmad', 'Hamdan', 'Salim', 'Ahmed', 'Jadawi', 'Al', 'Aljawadi', 'Saqar', 'Saqr'}","{'Salem', 'Jaddawi', 'Ahmad', 'Hamdan', 'Salim', 'Ahmed', 'Jadawi', 'Al', 'Aljawadi', 'Saqar', 'Saqr'}",533,97,match
6998,ISIL (Da'esh) and Al-Qaida,"{'Boubakeur', 'Abu', 'Boulghiti', 'Yasir', 'Bakr', 'Al', 'Boubekeur', 'Jaziri', 'Boulghit', 'Abou', 'Jazari', 'El', 'Yasser', 'Djazairi'}","{'Boubakeur', 'Bwbkr', 'Abu', 'Boulghiti', 'Bakr', 'Al', 'Yasir', 'Boubekeur', 'Ljzy', 'Boulghit', 'Abou', 'Jazari', 'Jaziri', 'El', 'Yasser', 'Djazairi', 'Ry'}",534,96,match
7008,Counter-Terrorism (International),"{'Abdelkarim', 'Al', 'Hussein', 'Mohammed', 'Nasser', 'Mohamed'}","{'Abdelkarim', 'Al', 'Hussein', 'Huseyn', 'Nasser', 'Mohamed'}",175,98,match
7011,ISIL (Da'esh) and Al-Qaida,"{'Tariq', 'Fathi', 'Ahmad', 'Amr', 'Fatih', 'Ahmed', 'Sayed', 'Anwar', 'Hamdi', 'Al', 'Tarek', 'El', 'Farag'}","{'Tariq', 'Fathi', 'Ahmad', 'Amr', 'Fatih', 'Ahmed', 'Sayed', 'Anwar', 'Al', 'Hamdi', 'Tarek', 'El', 'Farag'}",789,95,match
7015,Counter-Terrorism (International),"{'Yacoub', 'Al', 'Salih', 'Mohammed', 'Ibrahim'}","{'Yacoub', 'Al', 'Salih', 'Mohammed', 'Ibrahim', 'Yacub', 'Mohamed'}",176,97,match
7016,ISIL (Da'esh) and Al-Qaida,"{'Abdel', 'Ahmed', 'Eddaouahiri', 'Al', 'Rabie', 'Zawahari', 'Aziz', 'Deen', 'Muhammed', 'Salim', 'Zawahiri', 'Zawahry', 'Fuad', 'Ahmad', 'Moez', 'Fatma', 'Abu', 'Nur', 'Doctor', 'Abdul', 'Mohamed', 'Aiman', 'Muaz', 'Ayman', 'Mohammed', 'Robi', 'Rabi', 'Dhawahri', 'Qader'}","{'Zgbye', 'Faraj', 'Zoghbi', 'Khlyl', 'Libico', 'Merai', 'Ila', 'F', 'Muhammed', 'Bdfth', 'Zoghbai', 'Lazrag', 'Farag', 'Abdefattah', 'Albdelfattah', 'Raji', 'Khalil', 'Larzg', 'Il', 'El', 'Abdul', 'Zgby', 'Mohamed', 'Ben', 'Mry', 'Singapore', 'Besir', 'Lebachir', 'Fredj', 'Di', 'Meri', 'Fattah'}",3563,76,preliminary match
7017,Afghanistan,"{'Amin', 'Yusuf', 'Aminullah', 'Quddus', 'Muhammad'}","{'Amin', 'Yusuf', 'Quddus', 'Aminullah', 'Muhammad'}",540,98,match
7019,Afghanistan,"{'Aanafi', 'Waliullah', 'Hanafi', 'Nazirullah'}","{'Hanafi', 'Waliullah', 'Aanafi', 'Nazirullah'}",542,100,match
7022,Afghanistan,"{'Tahir', 'Taher', 'Mudir', 'Mohammad', 'Anwari', 'Muhammad', 'Tahre'}","{'Tahir', 'Taher', 'Haji', 'Mudir', 'Mohammad', 'Anwari', 'Muhammad', 'Tahre'}",544,98,match
7024,ISIL (Da'esh) and Al-Qaida,"{'Ben', 'Fathi', 'Belkacem', 'Belgacem', 'Al', 'Aouadi', 'Abdallah', 'Hannachi', 'Mohamed'}","{'Ben', 'Fathi', 'Belkacem', 'Belgacem', 'Al', 'Aouadi', 'Abdallah', 'Hannachi', 'Mohamed'}",927,97,match
7025,Afghanistan,"{'Mohammad', 'Arefullah', 'Ghazi', 'Aref'}","{'Mohammad', 'Arefullah', 'Ghazi', 'Aref'}",545,98,match
7033,Afghanistan,"{'Esmatullah', 'Asem', 'Sayed', 'Quddus', 'Abdul', 'Asmatullah'}","{'Esmatullah', 'Asem', 'Sayed', 'Quddus', 'Abdul', 'Asmatullah'}",547,98,match
